text,type,typeId,className,Description
Category,Class,creately.umlclass.class,Category,
Product,Class,creately.umlclass.class,Product,
"<<enumeration>>
Flavor",Class,creately.umlclass.class,"<<enumeration>>
",
"<<enumeration>>
Origin",Class,creately.umlclass.class,"<<enumeration>>
",
SaleItem,Class,creately.umlclass.class,SaleItem,
Sale,Class,creately.umlclass.class,Sale,
"<<enumaration>>
SaleStatus",Class,creately.umlclass.class,"<<enumaration>>
",
User,Class,creately.umlclass.class,User,
Group,Class,creately.umlclass.class,Group,
Permission,Class,creately.umlclass.class,Permission,
Client,Class,creately.umlclass.class,Client,
ClientType,Class,creately.umlclass.class,ClientType,
"<<embedded>>
Address",Class,creately.umlclass.class,"<<embedded>>
",
City,Class,creately.umlclass.class,City,
State,Class,creately.umlclass.class,State,